x,y,date,cell,polyclass,bleu,vert,rouge,pir,pre_abs
542195,4797395,20170314,35275,hp,0.0273,0.0356,0.0183,0,abs
542205,4797395,20170314,35276,hp,0.0288,0.0375,0.0212,0,abs
542165,4797385,20170314,35699,hp,0.031,0.0415,0.0246,0,abs
542175,4797385,20170314,35700,hp,0.0293,0.0372,0.0225,0,abs
542185,4797385,20170314,35701,hp,0.0275,0.0389,0.0231,0,abs
542195,4797385,20170314,35702,hp,0.0252,0.0346,0.0184,0,abs
542205,4797385,20170314,35703,hp,0.0253,0.0355,0.0225,0,abs
542365,4797585,20170314,27179,hp,0.0363,0.0544,0.0403,0,abs
542375,4797585,20170314,27180,hp,0.0359,0.0535,0.041,0,abs
542385,4797585,20170314,27181,hp,0.0368,0.0548,0.0394,0,abs
542395,4797585,20170314,27182,hp,0.0364,0.053,0.0406,0,abs
542405,4797585,20170314,27183,hp,0.0373,0.0578,0.0417,0,abs
542415,4797585,20170314,27184,hp,0.0375,0.0542,0.042,0,abs
542425,4797585,20170314,27185,hp,0.0357,0.0563,0.0429,0,abs
542365,4797575,20170314,27606,hp,0.0359,0.0543,0.0411,0,abs
542375,4797575,20170314,27607,hp,0.0362,0.0542,0.0393,0,abs
542385,4797575,20170314,27608,hp,0.0379,0.053900000000000003,0.0398,0,abs
542395,4797575,20170314,27609,hp,0.0388,0.0531,0.039,0,abs
542405,4797575,20170314,27610,hp,0.0372,0.0533,0.0409,0,abs
542415,4797575,20170314,27611,hp,0.0338,0.0554,0.0414,0,abs
542425,4797575,20170314,27612,hp,0.0368,0.0563,0.0415,0,abs
542435,4797575,20170314,27613,hp,0.0355,0.0552,0.0429,0,abs
542445,4797575,20170314,27614,hp,0.0332,0.052,0.0415,0,abs
542455,4797575,20170314,27615,hp,0.034,0.048,0.0393,0,abs
542375,4797565,20170314,28034,hp,0.0371,0.055,0.0405,0,abs
542385,4797565,20170314,28035,hp,0.037,0.053,0.0412,0,abs
542395,4797565,20170314,28036,hp,0.0375,0.0529,0.0394,0,abs
542405,4797565,20170314,28037,hp,0.0369,0.0543,0.0413,0,abs
542055,4796695,20170314,65151,hp,0.0308,0.0399,0.0228,0,abs
542045,4796685,20170314,65577,hp,0.0274,0.0372,0.0221,0,abs
542055,4796685,20170314,65578,hp,0.0255,0.0362,0.0179,0,abs
542035,4796675,20170314,66003,hp,0.0276,0.0366,0.0213,0,abs
542045,4796675,20170314,66004,hp,0.0268,0.0363,0.0202,0,abs
542055,4796675,20170314,66005,hp,0.0241,0.0334,0.0185,0,abs
541925,4796145,20170314,88623,ht,0.0254,0.0407,0.0285,0,abs
541935,4796145,20170314,88624,ht,0.026,0.041,0.0284,0,abs
541945,4796145,20170314,88625,ht,0.0245,0.0391,0.0284,0,abs
541955,4796145,20170314,88626,ht,0.0248,0.037,0.0287,0,abs
541935,4796135,20170314,89051,ht,0.0248,0.042,0.029,0,abs
541945,4796135,20170314,89052,ht,0.0264,0.0411,0.029,0,abs
541955,4796135,20170314,89053,ht,0.0265,0.0399,0.029,0,abs
541965,4796135,20170314,89054,ht,0.0294,0.0434,0.0293,0,abs
541975,4796135,20170314,89055,ht,0.0267,0.0434,0.0309,0,abs
541985,4796135,20170314,89056,ht,0.0286,0.042,0.0314,0,abs
541995,4796135,20170314,89057,ht,0.0269,0.041,0.0305,0,abs
541935,4796125,20170314,89478,ht,0.0244,0.0422,0.0297,0,abs
541945,4796125,20170314,89479,ht,0.0276,0.0416,0.0276,0,abs
541955,4796125,20170314,89480,ht,0.0233,0.0401,0.0276,0,abs
541965,4796125,20170314,89481,ht,0.0262,0.0409,0.0271,0,abs
541975,4796125,20170314,89482,ht,0.0261,0.0458,0.0321,0,abs
541985,4796125,20170314,89483,ht,0.0289,0.0457,0.0347,0,abs
541995,4796125,20170314,89484,ht,0.0276,0.0437,0.0329,0,abs
541935,4796115,20170314,89905,ht,0.0265,0.042,0.0317,0,abs
541945,4796115,20170314,89906,ht,0.0262,0.0429,0.0284,0,abs
541955,4796115,20170314,89907,ht,0.0258,0.0376,0.027,0,abs
541965,4796115,20170314,89908,ht,0.027,0.0382,0.0274,0,abs
541975,4796115,20170314,89909,ht,0.0276,0.0443,0.0321,0,abs
541985,4796115,20170314,89910,ht,0.0287,0.0463,0.0334,0,abs
541995,4796115,20170314,89911,ht,0.0275,0.0435,0.0316,0,abs
541935,4796105,20170314,90332,ht,0.0286,0.0399,0.0296,0,abs
541945,4796105,20170314,90333,ht,0.0288,0.044,0.031,0,abs
541955,4796105,20170314,90334,ht,0.0285,0.0409,0.0293,0,abs
541965,4796105,20170314,90335,ht,0.0288,0.0392,0.0266,0,abs
541975,4796105,20170314,90336,ht,0.0275,0.0416,0.0285,0,abs
541985,4796105,20170314,90337,ht,0.0269,0.0427,0.0294,0,abs
541995,4796105,20170314,90338,ht,0.0273,0.0414,0.0272,0,abs
541945,4796095,20170314,90760,ht,0.0271,0.0397,0.0272,0,abs
541955,4796095,20170314,90761,ht,0.0275,0.0388,0.0273,0,abs
541965,4796095,20170314,90762,ht,0.0261,0.0375,0.0248,0,abs
541975,4796095,20170314,90763,ht,0.0287,0.041,0.0267,0,abs
541985,4796095,20170314,90764,ht,0.0257,0.041,0.029,0,abs
541995,4796095,20170314,90765,ht,0.0259,0.0397,0.0263,0,abs
541975,4796085,20170314,91190,ht,0.0241,0.0411,0.0262,0,abs
541985,4796085,20170314,91191,ht,0.0269,0.0418,0.0304,0,abs
542485,4797205,20170314,43417,ht,0.0305,0.0449,0.0291,0,abs
542485,4797195,20170314,43844,ht,0.0309,0.0468,0.0323,0,abs
542495,4797195,20170314,43845,ht,0.0297,0.0437,0.0275,0,abs
542505,4797195,20170314,43846,ht,0.0298,0.0421,0.0262,0,abs
542515,4797195,20170314,43847,ht,0.0286,0.0456,0.0294,0,abs
542475,4797185,20170314,44270,ht,0.0317,0.0478,0.0328,0,abs
542485,4797185,20170314,44271,ht,0.0312,0.0445,0.0324,0,abs
542495,4797185,20170314,44272,ht,0.029,0.0442,0.0298,0,abs
542505,4797185,20170314,44273,ht,0.0283,0.045,0.0284,0,abs
542515,4797185,20170314,44274,ht,0.03,0.0451,0.0312,0,abs
542525,4797185,20170314,44275,ht,0.0299,0.0441,0.0316,0,abs
542535,4797185,20170314,44276,ht,0.0302,0.0456,0.0313,0,abs
542545,4797185,20170314,44277,ht,0.0307,0.0455,0.0312,0,abs
542555,4797185,20170314,44278,ht,0.0307,0.0449,0.0289,0,abs
542475,4797175,20170314,44697,ht,0.0311,0.0462,0.03,0,abs
542485,4797175,20170314,44698,ht,0.032,0.046,0.0307,0,abs
542495,4797175,20170314,44699,ht,0.031,0.0464,0.0332,0,abs
542505,4797175,20170314,44700,ht,0.0302,0.0493,0.0348,0,abs
542515,4797175,20170314,44701,ht,0.0296,0.0458,0.0305,0,abs
542525,4797175,20170314,44702,ht,0.0305,0.047,0.0315,0,abs
542535,4797175,20170314,44703,ht,0.0314,0.048,0.0317,0,abs
542545,4797175,20170314,44704,ht,0.0316,0.0428,0.0271,0,abs
542555,4797175,20170314,44705,ht,0.0299,0.0429,0.0268,0,abs
542565,4797175,20170314,44706,ht,0.0283,0.0424,0.0288,0,abs
542575,4797175,20170314,44707,ht,0.0277,0.042,0.0281,0,abs
542475,4797165,20170314,45124,ht,0.0297,0.0461,0.0276,0,abs
542485,4797165,20170314,45125,ht,0.0321,0.0477,0.0312,0,abs
542495,4797165,20170314,45126,ht,0.0308,0.0484,0.0333,0,abs
542505,4797165,20170314,45127,ht,0.0307,0.0496,0.0349,0,abs
542515,4797165,20170314,45128,ht,0.0305,0.0457,0.0319,0,abs
542525,4797165,20170314,45129,ht,0.0306,0.046,0.0304,0,abs
542535,4797165,20170314,45130,ht,0.0296,0.0464,0.0293,0,abs
542545,4797165,20170314,45131,ht,0.0319,0.0451,0.0294,0,abs
542555,4797165,20170314,45132,ht,0.029,0.047,0.0312,0,abs
542565,4797165,20170314,45133,ht,0.0292,0.0439,0.0286,0,abs
542575,4797165,20170314,45134,ht,0.0277,0.0406,0.0264,0,abs
542475,4797155,20170314,45551,ht,0.0299,0.0406,0.0264,0,abs
542485,4797155,20170314,45552,ht,0.0299,0.0448,0.0297,0,abs
542495,4797155,20170314,45553,ht,0.0295,0.0447,0.0305,0,abs
542505,4797155,20170314,45554,ht,0.0299,0.0438,0.0296,0,abs
542515,4797155,20170314,45555,ht,0.0307,0.0434,0.0304,0,abs
542525,4797155,20170314,45556,ht,0.0294,0.0438,0.0278,0,abs
542535,4797155,20170314,45557,ht,0.0299,0.0435,0.027,0,abs
542545,4797155,20170314,45558,ht,0.0287,0.0449,0.0301,0,abs
542555,4797155,20170314,45559,ht,0.0272,0.0462,0.0296,0,abs
542565,4797155,20170314,45560,ht,0.0286,0.0413,0.0282,0,abs
542575,4797155,20170314,45561,ht,0.0271,0.0383,0.0244,0,abs
542465,4797145,20170314,45977,ht,0.0299,0.0442,0.0274,0,abs
542475,4797145,20170314,45978,ht,0.0287,0.0414,0.0273,0,abs
542485,4797145,20170314,45979,ht,0.0278,0.0444,0.0259,0,abs
542495,4797145,20170314,45980,ht,0.0278,0.0399,0.0272,0,abs
542505,4797145,20170314,45981,ht,0.0305,0.0417,0.0277,0,abs
